Year,Material,Offices,Retail+,Hotels+,Govt+
2020,steel,104.7,71.2,80,86.9
2020,concrete,851.8,771.4,723.2,934.6
2020,aluminium,4.8,2.4,4.4,5.8
2020,copper,3.9,2.3,3.5,3.4
2020,wood,7.7,18.3,25.7,17.2
2020,glass,5.3,4.3,3.6,9.6
2020,cement,204.7,269.9,786.8,409.3
2020,brick,379.5,465.8,357.9,387.8
2050,steel,104.7,71.2,80,86.9
2050,concrete,851.8,771.4,723.2,934.6
2050,aluminium,4.8,2.4,4.4,5.8
2050,copper,3.9,2.3,3.5,3.4
2050,wood,7.7,18.3,25.7,17.2
2050,glass,5.3,4.3,3.6,9.6
2050,cement,204.7,269.9,786.8,409.3
2050,brick,379.5,465.8,357.9,387.8
