Year,Material,Offices,Retail+,Hotels+,Govt+
2020,steel,74.19,74.19,74.19,74.19
2020,concrete,1077,1077,1077,1077
2020,aluminium,4.8,2.4,4.4,5.8
2020,copper,0.18,0.18,0.18,0.18
2020,wood,17.7,17.7,17.7,17.7
2020,glass,1.74,1.74,1.74,1.74
2020,brick,345.41,345.41,345.41,345.41
2050,steel,74.19,74.19,74.19,74.19
2050,concrete,1077,1077,1077,1077
2050,aluminium,4.8,2.4,4.4,5.8
2050,copper,0.18,0.18,0.18,0.18
2050,wood,17.7,17.7,17.7,17.7
2050,glass,1.74,1.74,1.74,1.74
2050,brick,345.41,345.41,345.41,345.41
